2023-05-11 16:19:38.473 [main] INFO  c.e.EmployeemanagmentsystemApplication - Starting EmployeemanagmentsystemApplication using Java 17.0.6 with PID 4980 (C:\Users\vedik\eclipse-workspace1\Employeemanagmentsystem\bin\main started by vedik in C:\Users\vedik\eclipse-workspace1\Employeemanagmentsystem)
2023-05-11 16:19:38.477 [main] INFO  c.e.EmployeemanagmentsystemApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-11 16:19:39.450 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-11 16:19:39.705 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 238 ms. Found 1 JPA repository interfaces.
2023-05-11 16:19:40.945 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9292 (https)
2023-05-11 16:19:41.015 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-11 16:19:41.016 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-05-11 16:19:41.207 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-11 16:19:41.208 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2660 ms
2023-05-11 16:19:41.436 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-11 16:19:42.363 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@66234b0f
2023-05-11 16:19:42.372 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-11 16:19:42.557 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-11 16:19:42.784 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-05-11 16:19:44.027 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-05-11 16:19:45.794 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-11 16:19:45.837 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
